"MESH_ID","UMLS_CUI","ICD10CM_CODE","DRESCP"
"C537596","C0342783","E71.312","Short chain acyl CoA dehydrogenase deficiency"
"D000592","C0002514","E72.9","Disorder of amino-acid metabolism, unspecified"
"D005878","C0017551","E80.4","Gilbert syndrome"
"D008375","C0024776","E71.0","Maple-syrup-urine disease"
"D010301","C0030568","G21.3","Postencephalitic parkinsonism"
"D011618","C0036337","F25.9","Schizoaffective disorder, unspecified"
"D014802","C0042842","E50.9","Vitamin A deficiency, unspecified"
"D014813","C0042880","E56.1","Deficiency of vitamin K"
"D019636","C0524851","G31.9","Degenerative disease of nervous system, unspecified"
"D020428","C0751931","G57.20","Lesion of femoral nerve, unspecified lower limb"
"D006012","C0017924","E74.04","McArdle disease"
"D006527","C0019202","E83.01","Wilson's disease"
"D014804","C0042850","E53.9","Vitamin B deficiency, unspecified"
"D020159","C0175683","E72.23","Citrullinemia"
"D000544","C0750901","G30.0","Alzheimer's disease with early onset"
"D013661","C0039373","E75.02","Tay-Sachs disease"
"D018902","C0282529","E71.540","Rhizomelic chondrodysplasia punctata"
"D003229","C0009759","H11.9","Unspecified disorder of conjunctiva"
"D005733","C0017083","E75.10","Unspecified gangliosidosis"
"D006816","C0020179","G10","Huntington's disease"
"D014277","C0040997","G50.0","Trigeminal neuralgia"
"D019958","C0029121","F91.3","Oppositional defiant disorder"
"D020516","C0700251","G54.0","Brachial plexus disorders"
"D006211","C0018523","G23.0","Hallervorden-Spatz disease"
"D009081","C0238286","E75.11","Mucolipidosis IV"
"D010554","C0004444","F60.6","Avoidant personality disorder"
"D017243","C0162672","E88.42","MERRF syndrome"
"D018437","C0242644","G83.81","Brown-Sequard syndrome"
"D020258","C0149504","G92","Toxic encephalopathy"
"D020143","C0268274","E75.00","GM2 gangliosidosis, unspecified"
"D004402","C0013364","G90.1","Familial dysautonomia [Riley-Day]"
"D005633","C0016751","E74.12","Hereditary fructose intolerance"
"D015419","C0037773","G11.4","Hereditary spastic paraplegia"
"D051270","C0751185","G44.83","Primary cough headache"
"D020275","C0018378","G61.0","Guillain-Barre syndrome"
"D008059","C0086431","E76.02","Hurler-Scheie syndrome"
"D020757","C0149793","G45.3","Amaurosis fugax"
"D020211","C0238015","G90.4","Autonomic dysreflexia"
"D054319","C0238265","G37.1","Central demyelination of corpus callosum"
"D005693","C0016952","E74.21","Galactosemia"
"D009459","C0027849","G21.0","Malignant neuroleptic syndrome"
"D015715","C0010037","H18.20","Unspecified corneal edema"
"D020422","C0151295","G58.7","Mononeuritis multiplex"
"D006970","C0751226","G47.13","Recurrent hypersomnia"
"D006429","C0154694","G81.10","Spastic hemiplegia affecting unspecified side"
"D011782","C0023944","G83.5","Locked-in state"
"D011502","C0086588","E41","Nutritional marasmus"
"D011128","C0392548","G83.4","Cauda equina syndrome"
"D005155","C0017407","G51.1","Geniculate ganglionitis"
"D015211","C0751594","E71.541","Zellweger-like syndrome"
"D009072","C0026654","I67.5","Moyamoya disease"
"D011226","C0032915","I45.6","Pre-excitation syndrome"
"D012804","C0037052","I49.5","Sick sinus syndrome"
"D054549","C1739395","I51.81","Takotsubo syndrome"
"D013285","C0038379","H50.40","Unspecified heterotropia"
"D015418","C0029125","H47.22","Hereditary optic atrophy"
"D029481","C0008677","J42","Unspecified chronic bronchitis"
"D001991","C0006277","J40","Bronchitis, not specified as acute or chronic"
"D002781","C0008373","H71.90","Unspecified cholesteatoma, unspecified ear"
"D013617","C0039240","I47.1","Supraventricular tachycardia"
"D009759","C0028738","H55.00","Unspecified nystagmus"
"D058447","C0151827","H57.10","Ocular pain, unspecified eye"
"D002537","C0007775","I67.2","Cerebral atherosclerosis"
"C538175","C0263386","L85.0","Acquired ichthyosis"
"D005588","C0016632","L75.2","Apocrine miliaria"
"D008061","C0023788","K90.81","Whipple's disease"
"D009050","C0026618","K00.3","Mottled teeth"
"D029424","C0024117","J44.9","Chronic obstructive pulmonary disease, unspecified"
"D007410","C0021831","K63.9","Disease of intestine, unspecified"
"D013206","C0038165","L00","Staphylococcal scalded skin syndrome"
"D014060","C0040409","K14.9","Disease of tongue, unspecified"
"D017444","C0162818","L44.9","Papulosquamous disorder, unspecified"
"D005705","C0016977","K82.9","Disease of gallbladder, unspecified"
"D002764","C0008325","K81.9","Cholecystitis, unspecified"
"D015154","C0014858","K22.4","Dyskinesia of esophagus"
"D002779","C0008370","K83.1","Obstruction of bile duct"
"D001261","C0004144","J98.11","Atelectasis"
"D012128","C0035222","J80","Acute respiratory distress syndrome"
"D012393","C0035854","L71.9","Rosacea, unspecified"
"D019693","C0241910","K75.4","Autoimmune hepatitis"
"D057896","C0152459","L90.6","Striae atrophicae"
"D062685","C0259771","L72.2","Steatocystoma multiplex"
"D002095","C0006542","J66.0","Byssinosis"
"D053717","C1701940","J95.851","Ventilator associated pneumonia"
"D011537","C0033774","L29.9","Pruritus, unspecified"
"D000073617","C0948343","J95.84","Transfusion-related acute lung injury (TRALI)"
"D003872","C0011603","L30.9","Dermatitis, unspecified"
"D004941","C0014868","K20.9","Esophagitis, unspecified"
"D011178","C0032763","K91.1","Postgastric surgery syndromes"
"D007007","C0003028","L74.4","Anhidrosis"
"D004814","C0086809","L72.11","Pilar cyst"
"D010267","C0162442","L41.4","Large plaque parapsoriasis"
"D012544","C0036310","M42.00","Juvenile osteochondrosis of spine, site unspecified"
"D053684","C0149870","M65.4","Radial styloid tenosynovitis [de Quervain]"
"D012585","C0036396","M54.30","Sciatica, unspecified side"
"D063806","C0231528","M79.1","Myalgia"
"D014103","C0040485","M43.6","Torticollis"
"D006103","C0018197","M31.2","Lethal midline granuloma"
"D057049","C2717961","M31.1","Thrombotic microangiopathy"
"D012859","C0086981","M35.00","Sicca syndrome, unspecified"
"D006101","C0162375","M27.1","Giant cell granuloma, central"
"C535817","C0269680","O26.86","Pruritic urticarial papules and plaques of pregnancy (PUPPP)"
"D014522","C0041969","N36.9","Urethral disorder, unspecified"
"D018934","C0238419","N49.3","Fournier gangrene"
"D002578","C0007868","N87.9","Dysplasia of cervix uteri, unspecified"
"D056844","C0152169","N23","Unspecified renal colic"
"D014718","C0042580","N13.70","Vesicoureteral-reflux, unspecified"
"D014525","C0041974","N35.9","Urethral stricture, unspecified"
"D014514","C1456865","N20.1","Calculus of ureter"
"D007248","C0021364","N46.9","Male infertility, unspecified"
"D009400","C0027719","N26.9","Renal sclerosis, unspecified"
"D009869","C0029051","N70.92","Oophoritis, unspecified"
"D059285","C0152150","O30.009","Twin pregnancy, unsp num plcnta & amnio sacs, unsp trimester"
"C562406","C0156273","N32.3","Diverticulum of bladder"
"C536330","C0158683","Q44.6","Cystic disease of liver"
"C536332","C1395852","Q69.1","Accessory thumb(s)"
"C536377","C0265998","Q84.3","Anonychia"
"C535318","C0221033","Q97.0","Karyotype 47, XXX"
"C562989","C0432357","Q83.0","Congenital absence of breast with absent nipple"
"D000757","C0002902","Q00.0","Anencephaly"
"D014125","C0040560","P37.1","Congenital toxoplasmosis"
"D016891","C0085413","Q61.2","Polycystic kidney, adult type"
"D020752","C0265316","Q85.9","Phakomatosis, unspecified"
"D017490","C0079154","Q80.2","Lamellar ichthyosis"
"D003025","C0009081","Q66.0","Congenital talipes equinovarus"
"D004820","C0014527","Q81.9","Epidermolysis bullosa, unspecified"
"D007713","C0022735","Q98.4","Klinefelter syndrome, unspecified"
"D001656","C0005411","Q44.2","Atresia of bile ducts"
"D004476","C1706004","Q82.4","Ectodermal dysplasia (anhidrotic)"
"D003456","C0010417","Q53.9","Undescended testicle, unspecified"
"D007979","C0023569","Q24.1","Levocardia"
"D007567","C0022353","P59.9","Neonatal jaundice, unspecified"
"D004884","C0014724","R14.2","Eructation"
"D002972","C0008925","Q35.9","Cleft palate, unspecified"
"D006209","C0018520","R19.6","Halitosis"
"D006417","C0018965","R31.9","Hematuria, unspecified"
"D006469","C0019079","R04.2","Hemoptysis"
"D006985","C0020578","R06.4","Hyperventilation"
"D008265","C0024433","Q18.4","Macrostomia"
"D016055","C0080274","R33.9","Retention of urine, unspecified"
"C537770","C0405582","Q55.0","Absence and aplasia of testis"
"D000073842","C3537048","Q91.3","Trisomy 18, unspecified"
"D009436","C0152426","Q00.1","Craniorachischisis"
"D013576","C0265553","Q70.4","Polysyndactyly, unspecified"
"D007969","C0452203","P91.2","Neonatal cerebral leukomalacia"
"D000857","C1510410","R43.1","Parosmia"
"D013575","C0039070","R55","Syncope and collapse"
"D009212","C0027080","R82.1","Myoglobinuria"
"D059606","C0085602","R63.1","Polydipsia"
"D001229","C0004031","B44.81","Allergic bronchopulmonary aspergillosis"
"D013344","C0038522","A81.1","Subacute sclerosing panencephalitis"
"D014777","C0042769","B34.9","Viral infection, unspecified"
"D020804","C0153017","B02.0","Zoster encephalitis"
"D001424","C0004623","A49.9","Bacterial infection, unspecified"
"D002690","C0008149","A74.9","Chlamydial infection, unspecified"
"D020019","C0338437","B69.0","Cysticercosis of central nervous system"
"D006479","C0019099","A98.0","Crimean-Congo hemorrhagic fever"
"D012480","C0036117","A02.9","Salmonella infection, unspecified"
"D020242","C0153065","A83.2","Eastern equine encephalitis"
"D006725","C0019911","B76.9","Hookworm disease, unspecified"
"D007733","C0022810","A98.2","Kyasanur Forest disease"
"D013274","C0024623","C16.9","Malignant neoplasm of stomach, unspecified"
"D007822","C0007107","C32.9","Malignant neoplasm of larynx, unspecified"
"D013592","C0039133","A53.0","Latent syphilis, unspecified as early or late"
"D015001","C0043388","A66.9","Yaws, unspecified"
"D019698","C0524910","B18.2","Chronic viral hepatitis C"
"D009062","C0153381","C06.9","Malignant neoplasm of mouth, unspecified"
"D013606","C0039223","A52.11","Tabes dorsalis"
"D008118","C0023968","B74.3","Loiasis"
"D012552","C0036323","B65.9","Schistosomiasis, unspecified"
"D010610","C0153405","C14.0","Malignant neoplasm of pharynx, unspecified"
"D013589","C0003511","A52.02","Syphilitic aortitis"
"D014594","C0153567","C55","Malignant neoplasm of uterus, part unspecified"
"D011818","C0034494","A82.9","Rabies, unspecified"
"D008587","C0025297","A87.9","Viral meningitis, unspecified"
"D014406","C0041351","A21.9","Tularemia, unspecified"
"D034062","C0206042","A81.83","Fatal familial insomnia"
"D001661","C0750952","C24.9","Malignant neoplasm of biliary tract, unspecified"
"D009198","C0027030","B87.9","Myiasis, unspecified"
"D012555","C0036330","B65.1","Schistosomiasis due to Schistosoma mansoni"
"D002771","C0008354","A00.9","Cholera, unspecified"
"D001196","C0003950","B77.9","Ascariasis, unspecified"
"D004169","C0012561","B70.0","Diphyllobothriasis"
"D006481","C0019103","A98.1","Omsk hemorrhagic fever"
"D009878","C0339166","A54.31","Gonococcal conjunctivitis"
"D012532","C0036262","B86","Scabies"
"D014400","C0041331","A18.85","Tuberculosis of spleen"
"D018197","C0206624","C22.2","Hepatoblastoma"
"D005538","C0035945","Y93.63","Activity, rugby"
"C538320","C0220992","E70.41","Histidinemia"
"C538167","C0268575","E71.110","Isovaleric acidemia"
"C536380","C0272126","D69.41","Evans syndrome"
"C536842","C0152264","D75.0","Familial erythrocytosis"
"C562600","C0268179","E73.0","Congenital lactase deficiency"
"D007153","C0021051","D84.9","Immunodeficiency, unspecified"
"D013981","C0008701","F95.1","Chronic motor or vocal tic disorder"
"D014899","C0043121","E51.2","Wernicke's encephalopathy"
"D019263","C0013415","F34.1","Dysthymic disorder"
"D020018","C0036903","F52.1","Sexual aversion disorder"
"D001778","C0005779","D68.9","Coagulation defect, unspecified"
"D010900","C0032002","E23.7","Disorder of pituitary gland, unspecified"
"D012497","C0036161","E75.01","Sandhoff disease"
"D012507","C0036202","D86.9","Sarcoidosis, unspecified"
"D013313","C0038436","F43.10","Post-traumatic stress disorder, unspecified"
"D000224","C0001403","E27.1","Primary adrenocortical insufficiency"
"D008659","C0025517","E88.9","Metabolic disorder, unspecified"
"D012257","C0035528","E53.0","Riboflavin deficiency"
"D007859","C1330966","F81.9","Developmental disorder of scholastic skills, unspecified"
"D013001","C0520482","F45.0","Somatization disorder"
"D013981","C0040188","F95.9","Tic disorder, unspecified"
"D006402","C0018939","D75.9","Disease of blood and blood-forming organs, unspecified"
"D010554","C0031212","F60.9","Personality disorder, unspecified"
"D014842","C0042974","D68.0","Von Willebrand's disease"
"D013920","C0040028","D47.3","Essential (hemorrhagic) thrombocythemia"
"D013789","C0039730","D56.9","Thalassemia, unspecified"
"D020329","C0270736","G25.0","Essential tremor"
"D013734","C0039585","E34.50","Androgen insensitivity syndrome, unspecified"
"D011085","C0032460","E28.2","Polycystic ovarian syndrome"
"D006947","C0020461","E87.5","Hyperkalemia"
"D009472","C0027877","E75.4","Neuronal ceroid lipofuscinosis"
"D011628","C0034012","E30.0","Delayed puberty"
"D000754","C0002894","D46.20","Refractory anemia with excess of blasts, unspecified"
"D007172","C0242350","F52.21","Male erectile disorder"
"D007119","C0020981","C86.5","Angioimmunoblastic T-cell lymphoma"
"D003550","C0010674","E84.9","Cystic fibrosis, unspecified"
"D012562","C0036347","F20.1","Disorganized schizophrenia"
"D009134","C0026847","G12.9","Spinal muscular atrophy, unspecified"
"D001749","C0005684","C67.9","Malignant neoplasm of bladder, unspecified"
"D011004","C0032249","D50.1","Sideropenic dysphagia"
"D011629","C0034013","E30.1","Precocious puberty"
"D051359","C0019068","D76.2","Hemophagocytic syndrome, infection-associated"
"D020896","C0546884","E86.9","Volume depletion, unspecified"
"D007011","C0020626","E20.9","Hypoparathyroidism, unspecified"
"C538542","C0034013","E30.1","Precocious puberty"
"D010698","C0008909","F40.240","Claustrophobia"
"D000326","C1527231","E71.522","Adrenomyeloneuropathy"
"C562856","C0394005","G80.4","Ataxic cerebral palsy"
"D012035","C0034960","G60.1","Refsum's disease"
"D013118","C0037928","G95.9","Disease of spinal cord, unspecified"
"D020417","C0700501","H55.01","Congenital nystagmus"
"D009223","C0027126","G71.11","Myotonic muscular dystrophy"
"D005128","C0015397","H44.9","Unspecified disorder of globe"
"D011782","C0034372","G82.50","Quadriplegia, unspecified"
"D020181","C0520679","G47.33","Obstructive sleep apnea (adult) (pediatric)"
"D015875","C0003079","H57.02","Anisocoria"
"D020968","C1510479","G54.5","Neuralgic amyotrophy"
"D051270","C0752150","G44.81","Hypnic headache"
"D006429","C0154693","G81.00","Flaccid hemiplegia affecting unspecified side"
"D020244","C0238281","G46.0","Middle cerebral artery syndrome"
"D001929","C0006114","G93.6","Cerebral edema"
"D020921","C0752295","G47.51","Confusional arousals"
"D011656","C0034067","J43.9","Emphysema, unspecified"
"D013683","C0039445","I78.0","Hereditary hemorrhagic telangiectasia"
"D014717","C0155503","H81.49","Vertigo of central origin, unspecified ear"
"D006331","C0018799","I51.9","Heart disease, unspecified"
"D020343","C0151620","I67.4","Hypertensive encephalopathy"
"D012214","C0035439","I09.9","Rheumatic heart disease, unspecified"
"D001660","C0005424","K83.9","Disease of biliary tract, unspecified"
"D061387","C0339959","J16.0","Chlamydial pneumonia"
"D001716","C0005592","J67.2","Bird fancier's lung"
"D012793","C0037023","K11.20","Sialoadenitis, unspecified"
"D002311","C0007193","I42.0","Dilated cardiomyopathy"
"D006521","C0019189","K73.9","Chronic hepatitis, unspecified"
"D008105","C0008312","K74.3","Primary biliary cirrhosis"
"D006333","C0018801","I50.9","Heart failure, unspecified"
"D007443","C0021933","K56.1","Intussusception"
"D004932","C0017145","I86.4","Gastric varices"
"D007819","C0023052","J38.4","Edema of larynx"
"D014096","C0040457","K00.1","Supernumerary teeth"
"D000848","C0399352","K00.0","Anodontia"
"D003387","C0010261","K03.81","Cracked tooth"
"D009298","C0027430","J33.9","Nasal polyp, unspecified"
"D011024","C0032310","J12.9","Viral pneumonia, unspecified"
"D013614","C0039236","I47.9","Paroxysmal tachycardia, unspecified"
"D014091","C0040451","K03.3","Pathological resorption of teeth"
"D011009","C0004681","J67.1","Bagassosis"
"C537375","C0494949","M35.5","Multifocal fibrosclerosis"
"C538130","C0263382","L87.0","Keratos follicularis et parafollicularis in cutem penetrans"
"C537412","C0263429","L66.4","Folliculitis ulerythematosa reticulata"
"D010201","C0030328","M35.6","Relapsing panniculitis [Weber-Christian]"
"D013625","C0039263","M31.4","Aortic arch syndrome [Takayasu]"
"D008313","C0399526","M26.213","Malocclusion, Angle's class III"
"D000153","C0001145","L73.0","Acne keloid"
"D005258","C0015773","M05.00","Felty's syndrome, unspecified site"
"D015267","C0008728","M30.1","Polyarteritis with lung involvement [Churg-Strauss]"
"D017449","C0162820","L23.9","Allergic contact dermatitis, unspecified cause"
"D000387","C0001860","L94.6","Ainhum"
"D008883","C0162423","L74.0","Miliaria rubra"
"D017439","C0162810","L91.0","Hypertrophic scar"
"D000152","C0702166","L70.9","Acne, unspecified"
"D000152","C0001144","L70.0","Acne vulgaris"
"D011565","C0033860","L40.9","Psoriasis, unspecified"
"D020069","C0037011","M25.519","Pain in unspecified shoulder"
"C562487","C0264005","M35.4","Diffuse (eosinophilic) fasciitis"
"D009220","C0027121","M60.9","Myositis, unspecified"
"D012216","C0035435","M79.0","Rheumatism, unspecified"
"D019547","C0007859","M54.2","Cervicalgia"
"D017824","C0152244","M85.50","Aneurysmal bone cyst, unspecified site"
"D014570","C0042075","N39.9","Disorder of urinary system, unspecified"
"D010409","C0030846","N48.9","Disorder of penis, unspecified"
"D005832","C0017412","N50.9","Disorder of male genital organs, unspecified"
"D006848","C1720771","N43.3","Hydrocele, unspecified"
"D014545","C0042018","N20.9","Urinary calculus, unspecified"
"D004412","C0013390","N94.6","Dysmenorrhea, unspecified"
"D013086","C0037856","N44.00","Torsion of testis, unspecified"
"D002581","C0007871","N88.3","Incompetence of cervix uteri"
"D009395","C0041349","N15.9","Renal tubulo-interstitial disease, unspecified"
"D010020","C0029445","M87.9","Osteonecrosis, unspecified"
"D012080","C0035086","N25.0","Renal osteodystrophy"
"D004461","C0013537","O15.9","Eclampsia, unspecified as to time period"
"D004715","C0014175","N80.9","Endometriosis, unspecified"
"D006409","C0018948","N85.7","Hematometra"
"D009920","C0029191","N45.2","Orchitis"
"D010019","C0029443","M86.9","Osteomyelitis, unspecified"
"D010688","C0031538","N47.1","Phimosis"
"D011317","C0033117","N48.30","Priapism, unspecified"
"D012488","C0036130","N70.91","Salpingitis, unspecified"
"D056650","C0406670","N94.819","Vulvodynia, unspecified"
"C537072","C0235660","N64.3","Galactorrhea not associated with childbirth"
"C557675","C0392109","Q32.0","Congenital tracheomalacia"
"C579878","C0001079","Q77.0","Achondrogenesis"
"C562831","C1389018","Q21.2","Atrioventricular septal defect"
"D000013","C0000768","Q89.9","Congenital malformation, unspecified"
"D001998","C0006288","Q33.2","Sequestration of lung"
"D016109","C0079683","Q81.1","Epidermolysis bullosa letalis"
"D001028","C0003516","Q21.4","Aortopulmonary septal defect"
"D003680","C0011168","R13.10","Dysphagia, unspecified"
"D004677","C0014067","Q01.2","Occipital encephalocele"
"D003074","C2350019","R91.1","Solitary pulmonary nodule"
"D003192","C0600104","R46.81","Obsessive-compulsive behavior"
"D004437","C0013481","Q22.5","Ebstein's anomaly"
"D004487","C0013604","R60.9","Edema, unspecified"
"D020941","C0495465","P94.0","Transient neonatal myasthenia gravis"
"D009394","C1567741","Q87.81","Alport syndrome"
"D017490","C0020758","Q80.9","Congenital ichthyosis, unspecified"
"D004062","C0220704","Q93.81","Velo-cardio-facial syndrome"
"D002538","C0917804","Q28.2","Arteriovenous malformation of cerebral vessels"
"D004314","C0013080","Q90.9","Down syndrome, unspecified"
"D065630","C0235833","Q79.0","Congenital diaphragmatic hernia"
"D008342","C0242387","Q75.4","Mandibulofacial dysostosis"
"D046248","C0700639","Q40.0","Congenital hypertrophic pyloric stenosis"
"D001746","C0005689","Q64.10","Exstrophy of urinary bladder, unspecified"
"D012127","C0035220","P22.9","Respiratory distress of newborn, unspecified"
"D014424","C0041408","Q96.0","Karyotype 45, X"
"D006343","C0018816","Q21.9","Congenital malformation of cardiac septum, unspecified"
"D015529","C0008340","Q44.4","Choledochal cyst"
"D060906","C0152430","Q65.81","Congenital coxa valga"
"D006177","C1449721","P83.4","Breast engorgement of newborn"
"D016470","C0004610","R78.81","Bacteremia"
"D003371","C0010200","R05","Cough"
"D004479","C0013581","Q12.1","Congenital displaced lens"
"D004842","C0014588","Q64.0","Epispadias"
"D006029","C0017979","R81","Glycosuria"
"D006943","C0020456","R73.9","Hyperglycemia, unspecified"
"D010167","C0030232","R23.1","Pallor"
"D013746","C0039621","R29.0","Tetany"
"D050497","C0595939","P95","Stillbirth"
"C535565","C0175755","Q83.2","Absent nipple"
"D009436","C0152234","Q00.2","Iniencephaly"
"D000075529","C0431691","Q60.3","Renal hypoplasia, unilateral"
"D004480","C0002447","Q73.0","Congenital absence of unspecified limb(s)"
"D016142","C0078982","Q04.1","Arhinencephaly"
"D010005","C0009080","R68.3","Clubbing of fingers"
"D000377","C0234502","R48.3","Visual agnosia"
"D001474","C0004771","A44.9","Bartonellosis, unspecified"
"D004672","C0014057","A83.0","Japanese encephalitis"
"D016731","C0085273","B08.3","Erythema infectiosum [fifth disease]"
"D002590","C0007894","B71.9","Cestode infection, unspecified"
"D013145","C0037974","A69.9","Spirochetal infection, unspecified"
"D014123","C0040558","B58.9","Toxoplasmosis, unspecified"
"D004675","C0014054","A84.1","Central European tick-borne encephalitis"
"D007918","C0023343","A30.9","Leprosy, unspecified"
"D020338","C0751908","A88.1","Epidemic vertigo"
"D007562","C0376329","A81.01","Variant Creutzfeldt-Jakob disease"
"D014392","C0041322","A18.50","Tuberculosis of eye, unspecified"
"D012554","C0036329","B65.2","Schistosomiasis due to Schistosoma japonicum"
"D002862","C0008582","B43.9","Chromomycosis, unspecified"
"D011051","C0032371","A80.9","Acute poliomyelitis, unspecified"
"D014401","C0041333","A18.10","Tuberculosis of genitourinary system, unspecified"
"D005873","C0017536","A07.1","Giardiasis [lambliasis]"
"D007898","C0023290","B55.0","Visceral leishmaniasis"
"D014235","C0040896","B75","Trichinellosis"
"D055744","C0276653","B44.0","Invasive pulmonary aspergillosis"
"D000562","C0002438","A06.9","Amebiasis, unspecified"
"D012373","C0035793","A77.0","Spotted fever due to Rickettsia rickettsii"
"D001907","C0006060","A77.1","Spotted fever due to Rickettsia conorii"
"D010373","C0030756","B85.2","Pediculosis, unspecified"
"D013587","C0039128","A53.9","Syphilis, unspecified"
"D014141","C0040592","A71.9","Trachoma, unspecified"
"D003236","C0009774","B30.9","Viral conjunctivitis, unspecified"
"D014008","C0040259","B35.3","Tinea pedis"
"D010930","C0032064","A20.9","Plague, unspecified"
"D021865","C0311386","A07.3","Isosporiasis"
"D005211","C0015652","B66.3","Fascioliasis"
"D001228","C0004030","B44.9","Aspergillosis, unspecified"
"D002602","C0007947","A57","Chancroid"
"D003121","C0009400","A93.2","Colorado tick fever"
"D007835","C0023092","A96.2","Lassa fever"
"D012061","C0035021","A68.9","Relapsing fever, unspecified"
"D012916","C0037393","Y93.66","Activity, soccer"
"D014391","C0041321","A19.9","Miliary tuberculosis, unspecified"
"C538117","C1955629","B10.01","Human herpesvirus 6 encephalitis"
"D008271","C1261283","B47.1","Actinomycetoma"
"D000562","C0033129","B60.10","Acanthamebiasis, unspecified"
"D003015","C0275590","A05.2","Foodborne Clostridium perfringens intoxication"
"D006660","C0153261","B39.4","Histoplasmosis capsulati, unspecified"
"D013590","C0020186","A50.52","Hutchinson's teeth"
"D011213","C0026143","B08.04","Paravaccinia, unspecified"
"D008577","C0348426","D32.9","Benign neoplasm of meninges, unspecified"
"D009377","C0027662","E31.20","Multiple endocrine neoplasia [MEN] syndrome, unspecified"
"D016553","C0398650","D69.3","Immune thrombocytopenic purpura"
"D017086","C0019025","D56.4","Hereditary persistence of fetal hemoglobin [HPFH]"
"D052536","C0268242","E75.240","Niemann-Pick disease type A"
"D000307","C0001621","E27.9","Disorder of adrenal gland, unspecified"
"D007018","C0020635","E23.0","Hypopituitarism"
"D016532","C0026705","E76.1","Mucopolysaccharidosis, type II"
"D007966","C0023522","E75.25","Metachromatic leukodystrophy"
"D019189","C0012715","E83.10","Disorder of iron metabolism, unspecified"
"D006008","C0017919","E74.00","Glycogen storage disease, unspecified"
"D001932","C0496899","D33.2","Benign neoplasm of brain, unspecified"
"D013106","C0037899","E75.3","Sphingolipidosis, unspecified"
"D038223","C0546983","F07.81","Postconcussional syndrome"
"D014923","C0043194","D82.0","Wiskott-Aldrich syndrome"
"D003554","C4316899","E72.04","Cystinosis"
"D009083","C0026703","E76.3","Mucopolysaccharidosis, unspecified"
"D003414","C0010324","E80.5","Crigler-Najjar syndrome"
"D004938","C0546837","C15.9","Malignant neoplasm of esophagus, unspecified"
"D013953","C0751552","C37","Malignant neoplasm of thymus"
